RMS,Mean,MA1,MA2,MA3,F1,F2,F3,FailureID
13071.34,7383.3,34,33,33,1875,1210.94,1617.19,1
13166.77,7690.08,34,32,31,703.12,1890.62,1265.63,1
13078.75,7509.58,47,42,42,703.12,39.06,1601.56,1
13115.34,7509.37,35,35,34,695.31,1867.19,1484.37,1
13180.5,7616.29,49,49,45,703.12,1289.06,1367.19,1
13124.91,7572.71,41,35,35,703.12,1554.69,1648.44,1
12892.21,7652.41,45,43,43,695.31,1578.12,1835.94,1
13115.69,7639.93,46,42,41,703.12,1429.69,1890.62,1
13048.57,7576.91,46,40,39,703.12,1906.25,1429.69,1
13118.2,7617.64,38,33,32,703.12,1679.69,1453.12,1
12885.66,7474.73,41,39,37,703.12,1562.5,1289.06,1
13298.96,7627.05,44,42,42,703.12,1906.25,1929.69,1
13032.03,7593.21,42,41,40,703.12,1531.25,812.5,1
12923.32,7636.03,43,39,38,703.12,1617.19,1343.75,1
12978.64,7561.97,36,33,33,703.12,1515.62,1750,1
13174.59,7667.73,33,29,28,695.31,1945.31,523.44,1
13130.57,7664.24,36,36,35,1031.25,1617.19,703.12,1
13174.03,7730.7,51,50,49,703.12,1179.69,1023.44,1
13156.8,7654.07,59,59,58,1242.19,1273.44,1703.12,1
13124.27,7653.06,38,37,36,695.31,976.56,750,1
13037.33,7600.91,40,39,38,1148.44,1570.31,1000,1
13001.05,7661.33,37,35,34,703.12,1867.19,453.12,1
13096.08,7576.19,47,47,46,695.31,1023.44,1820.31,1
13388.12,7787.13,62,59,59,703.12,289.06,1492.19,1
13023.22,7550.7,47,46,45,703.12,1953.12,1273.44,1
13144.87,7523.15,41,39,38,1843.75,703.12,1765.62,1
13141.92,7715.77,38,38,38,703.12,1781.25,1945.31,1
13151.92,7645.22,33,33,33,703.12,1812.5,1835.94,1
13175.63,7633.64,46,45,45,703.12,1531.25,1742.19,1
13068.46,7627.62,42,41,39,1843.75,695.31,187.5,1
12809.19,7480.77,36,34,33,703.12,1257.81,523.44,1
13072.34,7615.76,34,32,32,703.12,445.31,906.25,1
13132.3,7666.42,45,43,43,703.12,773.44,1703.12,1
13177.64,7694.94,37,36,35,703.12,1375,1343.75,1
13072.73,7747.17,50,48,46,703.12,1742.19,1953.12,1
13002.94,7643.03,54,54,51,703.12,1984.37,1101.56,1
13501.97,7758.52,42,37,37,703.12,1460.94,1765.62,1
12896.51,7494.82,47,46,45,1953.12,609.37,1914.06,1
13082.31,7567.63,42,41,41,664.06,1750,1890.62,1
12912.65,7563.96,49,47,46,695.31,1328.13,320.31,1
13165.13,7649.83,43,37,35,703.12,1625,1437.5,1
12850.24,7627.01,40,30,29,695.31,1515.62,93.75,1
12945.61,7506.99,50,38,37,695.31,414.06,140.62,1
13165.99,7666.51,46,34,34,703.12,54.69,1367.19,1
12989.86,7471.12,50,38,38,703.12,46.88,109.37,1
13050.16,7606.75,44,32,32,703.12,367.19,789.06,1
12765.8,7616.84,44,35,34,703.12,601.56,187.5,1
13036.29,7594.48,44,34,34,703.12,289.06,320.31,1
13010.18,7671.55,48,37,35,703.12,343.75,539.06,1
12788.34,7522.01,65,56,54,703.12,1968.75,62.5,1
12910.69,7632.93,46,36,36,703.12,1359.38,1820.31,1
13089.82,7422.55,53,44,44,703.12,1343.75,1523.44,1
13111.62,7584.88,46,37,35,703.12,1781.25,164.06,1
13251.37,7653.7,43,32,32,703.12,39.06,1398.44,1
13281.79,7749.71,52,42,41,703.12,484.37,1664.06,1
13270.09,7744.2,56,46,46,703.12,406.25,1765.62,1
12773.12,7540.75,53,40,39,695.31,39.06,546.87,1
13098.12,7644.2,50,41,41,695.31,203.12,1835.94,1
13089.7,7611.47,52,41,41,703.12,390.62,1656.25,1
13091.06,7671.16,51,40,40,703.12,664.06,1257.81,1
13197.53,7667.96,50,38,37,703.12,1945.31,226.56,1
12969.22,7702.61,46,39,38,703.12,1039.06,1203.13,1
13000.44,7690.15,51,41,40,703.12,546.87,1390.63,1
13092.58,7722.93,46,35,34,703.12,437.5,148.44,1
13074.57,7740.3,47,37,37,703.12,320.31,382.81,1
13015.06,7682.54,50,42,39,695.31,93.75,796.87,1
13073.54,7594.76,58,50,50,703.12,1156.25,1398.44,1
13195.85,7631.41,42,33,32,703.12,1367.19,1226.56,1
13039.72,7606.64,43,31,31,703.12,937.5,1578.12,1
13116.85,7691.8,47,38,38,695.31,1101.56,1203.13,1
12864.18,7496.98,45,34,34,703.12,328.12,1234.38,1
13151.79,7654.16,45,35,34,703.12,1156.25,140.62,1
13106.85,7544.24,48,39,38,703.12,1710.94,898.44,1
12745.91,7578.13,43,35,34,703.12,1585.94,429.69,1
12949.43,7584.49,42,35,34,703.12,70.31,1171.88,1
13073.32,7637.73,43,33,32,703.12,1000,335.94,1
13001.32,7520.01,69,57,56,703.12,1429.69,671.87,1
12846.8,7584.77,44,33,32,703.12,46.88,1515.62,1
13120.18,7684.78,59,47,46,703.12,1781.25,617.19,1
12938.1,7580.46,46,36,34,703.12,890.62,335.94,1
12783.41,7486.4,47,36,35,703.12,1757.81,1953.12,1
12895.74,7590.73,49,39,38,703.12,1023.44,1304.69,1
12839.19,7526.57,59,52,51,703.12,1867.19,851.56,1
13073.07,7682.68,48,41,39,703.12,1359.38,1765.62,1
12937.7,7595.75,48,41,41,695.31,1476.56,1625,1
13034.45,7628.23,52,45,44,703.12,85.94,1171.88,1
12698.04,7431.93,43,41,40,695.31,1609.37,585.94,1
12997.46,7691.21,42,38,36,703.12,1273.44,1906.25,1
12924.26,7607.3,40,34,33,703.12,1101.56,726.56,1
13060.48,7683.12,51,43,42,703.12,656.25,1781.25,1
13179.31,7761.89,43,37,35,703.12,1601.56,1367.19,1
13113.41,7741.81,47,41,40,703.12,1445.31,1882.81,1
12880.32,7627.73,48,43,41,695.31,1843.75,1796.87,1
13101.64,7655.37,48,40,39,703.12,468.75,515.62,1
13006.55,7715.13,45,37,37,695.31,1250,1796.87,1
13122.75,7719.7,62,51,50,703.12,1242.19,609.37,1
12921.11,7695.04,47,39,37,703.12,1109.38,312.5,1
12948.17,7656.89,48,38,37,695.31,1960.94,1234.38,1
13147.86,7800.65,47,38,38,703.12,421.87,1070.31,1
13159,7730.11,43,34,33,703.12,1570.31,765.62,1
12866.87,7556.21,42,33,33,703.12,773.44,1054.69,1
12792.23,7518.05,45,37,37,703.12,1351.56,1796.87,1
12863.28,7567.82,46,38,36,703.12,1625,421.87,1
12985.92,7663.34,48,42,39,695.31,1835.94,1859.37,1
12768.75,7530.84,44,38,38,703.12,1734.37,1789.06,1
13016.88,7538.88,40,34,33,703.12,960.94,609.37,1
12876.4,7631.23,52,43,43,703.12,867.19,1046.88,1
12973.68,7625.19,44,33,33,703.12,1656.25,1984.37,1
13260.77,7762.03,57,49,47,703.12,875,1656.25,1
12869.25,7601.93,50,40,40,703.12,796.87,960.94,1
12948.94,7623.37,55,46,45,703.12,1703.12,218.75,1
13060.76,7605.37,57,47,46,703.12,656.25,125,1
12937.33,7533.98,55,46,45,703.12,742.19,1875,1
12835.08,7497.94,47,38,36,703.12,1804.69,320.31,1
13012.45,7549.45,77,70,70,703.12,39.06,1335.94,1
12903.52,7663.19,48,39,38,703.12,1765.62,1859.37,1
13251.91,7757.85,45,35,35,703.12,773.44,921.87,1
13153.95,7647.99,45,35,35,703.12,929.69,1242.19,1
13049.93,7677.12,51,47,45,695.31,1273.44,1468.75,1
13103.91,7682.83,46,39,38,695.31,656.25,539.06,1
12695.11,7537,47,39,38,695.31,875,1007.81,1
12812.83,7590.85,49,43,40,703.12,1835.94,296.87,1
12975.81,7606.73,43,36,35,695.31,632.81,62.5,1
13094.88,7610.16,74,66,66,703.12,1585.94,1921.87,1
13363.94,7741.25,55,46,46,703.12,648.44,1437.5,1
13191.32,7722.02,43,37,34,703.12,1414.06,656.25,1
13013.8,7670.18,47,40,39,703.12,539.06,1492.19,1
